Coronavirus Cases,Deaths,Recovered,Data,Hour
1201767,64710,246496,04/04/20,22:40:07
1253072,68154,257202,04/05/20,14:40:02
1254352,68178,257244,04/05/20,15:00:03
1254464,68184,259544,04/05/20,15:20:03
1258091,68287,259554,04/05/20,15:40:02
1259767,68418,259637,04/05/20,16:00:03
1259960,68421,259940,04/05/20,16:20:02
1261177,68468,260036,04/05/20,16:40:03
1262304,68492,260307,04/05/20,17:00:03
1263061,68524,260222,04/05/20,17:20:03
1266613,69169,260967,04/05/20,17:40:02
1266771,69177,261126,04/05/20,18:00:03
1266782,69177,261132,04/05/20,18:20:03
1267577,69299,261134,04/05/20,18:40:03
1268636,69321,261134,04/05/20,19:00:03
1268851,69330,261200,04/05/20,19:20:02
1269240,69346,261200,04/05/20,19:40:02
1269313,69346,261207,04/05/20,20:00:03
1284665,70320,271721,04/06/20,07:40:03
1284754,70320,271731,04/06/20,08:00:02
1285257,70344,271847,04/06/20,08:20:03
1285285,70344,271867,04/06/20,08:40:03
1418730,81497,301398,04/07/20,17:20:03
1418920,81506,301471,04/07/20,17:33:03
1418920,81506,301471,04/07/20,17:34:02
1418920,81506,301471,04/07/20,17:35:03
1418920,81506,301471,04/07/20,17:36:02
1418920,81506,301471,04/07/20,17:37:03
1418920,81506,301471,04/07/20,17:38:02
1418920,81506,301471,04/07/20,17:39:03
1418920,81506,301471,04/07/20,17:40:03
1418920,81506,301471,04/07/20,17:41:03
1418920,81506,301471,04/07/20,17:42:02
1418920,81506,301471,04/07/20,17:43:03
1418925,81507,301471,04/07/20,17:44:03
1418925,81507,301471,04/07/20,17:45:03
1418925,81507,301476,04/07/20,17:46:03
1418925,81507,301476,04/07/20,17:47:02
1418925,81507,301476,04/07/20,17:48:03
1418925,81507,301476,04/07/20,17:49:03
1418925,81507,301476,04/07/20,17:50:02
1418925,81507,301476,04/07/20,17:51:02
1418925,81507,301476,04/07/20,17:52:03
1419126,81511,301488,04/07/20,17:53:03
1419126,81511,301488,04/07/20,17:54:03
1419126,81511,301488,04/07/20,17:55:02
1419126,81511,301488,04/07/20,17:56:03
1419126,81511,301488,04/07/20,17:57:03
1419126,81511,301488,04/07/20,17:58:03
1419142,81512,301497,04/07/20,17:59:02
1419142,81512,301497,04/07/20,18:00:03
